data;precip
2002-01;240,8 
2002-02;49,5 
2002-03;184,7 
2002-04;174,2 
2002-05;91,7 
2002-06;36,4 
2002-07;14,4 
2002-08;0,3 
2002-09;0,6 
2002-10;0,4 
2002-11;2,5 
2002-12;9,5 
2003-01;98,7 
2003-02;179,7 
2003-03;263,6 
2003-04;154,8 
2003-05;66,4 
2003-06;46,0 
2003-07;1,6 
2003-08;1,4 
2003-09;0,1 
2003-10;1,0 
2003-11;1,8 
2003-12;12,5 
2004-01;402,9 
2004-02;243,3 
2004-03;139,2 
2004-04;82,5 
2004-05;54,6 
2004-06;75,4 
2004-07;21,0 
2004-08;2,0 
2004-09;0,9 
2004-10;0,4 
2004-11;1,2 
2004-12;6,0 
2005-01;60,9 
2005-02;50,9 
2005-03;194,1 
2005-04;94,9 
2005-05;104,1 
2005-06;41,7 
2005-07;5,6 
2005-08;1,3 
2005-09;0,1 
2005-10;0,1 
2005-11;1,1 
2005-12;28,2 
2006-01;23,9 
2006-02;122,0 
2006-03;189,0 
2006-04;206,2 
2006-05;136,2 
2006-06;44,7 
2006-07;5,7 
2006-08;3,1 
2006-09;0,9 
2006-10;4,3 
2006-11;2,7 
2006-12;22,2 
2007-01;23,4 
2007-02;245,1 
2007-03;118,9 
2007-04;155,1 
2007-05;48,8 
2007-06;29,4 
2007-07;4,5 
2007-08;0,3 
2007-09;0,2 
2007-10;0,2 
2007-11;1,4 
2007-12;38,4 
2008-01;100,9 
2008-02;94,6 
2008-03;332,4 
2008-04;238,3 
2008-05;104,7 
2008-06;17,9 
2008-07;10,7 
2008-08;9,8 
2008-09;0,4 
2008-10;0,5 
2008-11;0,4 
2008-12;11,7 
2009-01;110,9 
2009-02;141,9 
2009-03;207,4 
2009-04;377,1 
2009-05;240,3 
2009-06;64,1 
2009-07;40,3 
2009-08;16,1 
2009-09;0,7 
2009-10;1,8 
2009-11;1,8 
2009-12;11,1 
2010-01;88,5 
2010-02;24,7 
2010-03;74,2 
2010-04;159,9 
2010-05;44,4 
2010-06;26,3 
2010-07;2,9 
2010-08;0,0 
2010-09;0,1 
2010-10;31,2 
2010-11;1,5 
2010-12;85,6 
2011-01;212,3 
2011-02;170,0 
2011-03;154,1 
2011-04;195,6 
2011-05;134,4 
2011-06;29,1 
2011-07;41,1 
2011-08;6,8 
2011-09;0,5 
2011-10;36,5 
2011-11;13,1 
2011-12;6,0 
2012-01;52,7 
2012-02;137,7 
2012-03;90,1 
2012-04;48,0 
2012-05;16,3 
2012-06;12,6 
2012-07;1,2 
2012-08;0,0 
2012-09;0,1 
2012-10;0,3 
2012-11;1,8 
2012-12;4,4 
2013-01;38,1 
2013-02;61,0 
2013-03;78,1 
2013-04;131,1 
2013-05;92,6 
2013-06;60,7 
2013-07;29,9 
2013-08;1,3 
2013-09;0,4 
2013-10;2,5 
2013-11;17,6 
2013-12;36,4 
2014-01;46,7 
2014-02;92,3 
2014-03;155,8 
2014-04;121,7 
2014-05;81,6 
2014-06;8,9 
2014-07;4,5 
2014-08;0,2 
2014-09;1,9 
2014-10;7,8 
2014-11;21,1 
